locationname,marketname,city,countrycode,address,zip,state,latitude,longitude,operator,status,timezone,url,open_day,open_month,open_year,other_date,playground,drivethru,format,in_mall
Harrison Square,"Raleigh-Durham (Fayetteville), NC",Cary,US,1803 N Harrison Ave,27513,NC,35.82935,-78.76965,"Butts, David (Dave)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/nc/harrison-square?utm_source=yext&utm_medium=link,7.0,5.0,1998.0,1998-02-01,none,True,Stand Alone,False
Heritage Village,"Raleigh-Durham (Fayetteville), NC",Wake Forest,US,1010 Forestville Rd,27587,NC,35.945801,-78.506362,"Reasoner, Robert (Rob)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/nc/heritage-village?utm_source=yext&utm_medium=link,8.0,1.0,2020.0,2020-01-09,interior,True,Stand Alone,False
Wake Forest,"Raleigh-Durham (Fayetteville), NC",Wake Forest,US,11730 Retail Dr,27587,NC,35.96706,-78.54275,"Reasoner, Robert (Rob)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/nc/wake-forest?utm_source=yext&utm_medium=link,28.0,3.0,2002.0,2002-03-28,interior,True,Stand Alone,False
Fuquay Varina,"Raleigh-Durham (Fayetteville), NC",Fuquay Varina,US,1460 N Main St,27526,NC,35.5938173,-78.7677757,"Lawson, Michael (Michael)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/nc/fuquay-varina?utm_source=yext&utm_medium=link,20.0,10.0,2005.0,2005-10-20,interior,True,Stand Alone,False
Stone Creek Village,"Raleigh-Durham (Fayetteville), NC",Cary,US,1000 Valleystone Dr,27519,NC,35.79063,-78.85027,"Holcombe, Richard (Rick)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/nc/stone-creek-village?utm_source=yext&utm_medium=link,6.0,7.0,2006.0,2006-07-06,interior,True,Stand Alone,False
Brier Creek Parkway at Lumley Road,"Raleigh-Durham (Fayetteville), NC",Raleigh,US,8901 Brier Creek Pkwy,27617,NC,35.90107,-78.7905,"Langston, David (David)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/nc/brier-creek-parkway-at-lumley-road?utm_source=yext&utm_medium=link,2.0,2.0,2006.0,2006-02-02,none,True,Stand Alone,False
Holly Springs,"Raleigh-Durham (Fayetteville), NC",Holly Springs,US,801 Village Walk Dr,27540,NC,35.63921,-78.83457,"Allred, Lori (Lori)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/nc/holly-springs?utm_source=yext&utm_medium=link,17.0,9.0,2009.0,2009-09-17,interior,True,Stand Alone,False
Apex,"Raleigh-Durham (Fayetteville), NC",Apex,US,1110 Beaver Creek Commons Dr,27502,NC,35.74592,-78.87405,"Holmes, Anthony (Tony)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/nc/apex?utm_source=yext&utm_medium=link,2.0,6.0,2005.0,2005-06-02,interior,True,Stand Alone,False
Parkside Town Commons,"Raleigh-Durham (Fayetteville), NC",Cary,US,7107 Okelly Chapel Rd,27519,NC,35.845217,-78.887333,"Phillips, Amanda (Amanda)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/nc/parkside-town-commons?utm_source=yext&utm_medium=link,19.0,11.0,2015.0,2015-11-19,interior,True,Stand Alone,False
Smithfield,"Raleigh-Durham (Fayetteville), NC",Smithfield,US,1300 N Brightleaf Blvd,27577,NC,35.51967,-78.31015,"Reinertsen, Karla (Karla)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/nc/smithfield?utm_source=yext&utm_medium=link,17.0,12.0,1998.0,1998-12-17,interior,True,Stand Alone,False
Research Triangle,"Raleigh-Durham (Fayetteville), NC",Durham,US,104 Residence Inn Blvd,27713,NC,35.90312,-78.89775,"Hamel, David (David)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/nc/research-triangle?utm_source=yext&utm_medium=link,13.0,8.0,1998.0,1998-04-01,none,True,Stand Alone,False
The Streets at Southpoint,"Raleigh-Durham (Fayetteville), NC",Durham,US,6910 Fayetteville Rd Ste 246,27713,NC,35.9050692,-78.9422632,Tyler Lowe,OPEN,America/New_York,https://www.chick-fil-a.com/locations/nc/the-streets-at-southpoint?utm_source=yext&utm_medium=link,8.0,3.0,2002.0,2002-03-08,none,False,Food Court,True
North Carolina Central University,"Raleigh-Durham (Fayetteville), NC",Durham,US,500 Nelson Street,27701,NC,35.9760857,-78.8989417,"Moncree, Pamela (Pamela)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/nc/north-carolina-central-university?utm_source=yext&utm_medium=link,4.0,11.0,2019.0,2019-11-04,none,False,,False
Renaissance Village,"Raleigh-Durham (Fayetteville), NC",Durham,US,7836 Leonardo Dr,27713,NC,35.9015746,-78.9578118,"MacDonald, Nathan (Nate)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/nc/renaissance-village?utm_source=yext&utm_medium=link,10.0,1.0,2008.0,2008-01-10,interior,True,Stand Alone,False
Campbell University,"Raleigh-Durham (Fayetteville), NC",Buies Creek,US,85 Main Street,27506,NC,35.4080764,-78.7386788,"Galloway, Amy (Amy)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/nc/campbell-university?utm_source=yext&utm_medium=link,26.0,4.0,2005.0,,none,False,,False
South Square,"Raleigh-Durham (Fayetteville), NC",Durham,US,4139 Durham Chapel Hill Blvd,27707,NC,35.9678192,-78.9610684,"Fernandez, Joseph (Joe)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/nc/south-square?utm_source=yext&utm_medium=link,15.0,6.0,2017.0,2017-06-15,interior,True,Stand Alone,False
Duke University Medical Center,"Raleigh-Durham (Fayetteville), NC",Durham,US,S Food Ct,27710,NC,,,"Moncree, Pamela (Pamela)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/nc/duke-university-medical-center?utm_source=yext&utm_medium=link,30.0,10.0,2009.0,,none,False,,False
Roxboro Road,"Raleigh-Durham (Fayetteville), NC",Durham,US,3912 N Roxboro St,27704,NC,36.04227,-78.89964,"Fernandez, Anthony (Tony)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/nc/roxboro-road?utm_source=yext&utm_medium=link,15.0,7.0,1999.0,1999-07-15,none,True,Stand Alone,False
Hillsborough Road,"Raleigh-Durham (Fayetteville), NC",Durham,US,3429 Hillsborough Rd,27705,NC,36.01904367,-78.94711433,Pamela Moncree,OPEN,America/New_York,https://www.chick-fil-a.com/locations/nc/hillsborough-road?utm_source=yext&utm_medium=link,1.0,4.0,1997.0,1997-03-13,none,True,Stand Alone,False
University of NC-Chapel Hill (Lenoir Hall),"Raleigh-Durham (Fayetteville), NC",Chapel Hill,US,36 Lenoir Drive,27599,NC,35.910557,-79.048762,"Holmes, Anthony (Tony)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/nc/university-of-nc-chapel-hill-lenoir-hall?utm_source=yext&utm_medium=link,18.0,8.0,1994.0,1994-08-18,none,False,,False
University of North Carolina Hospital-Beach,"Raleigh-Durham (Fayetteville), NC",Chapel Hill,US,1 Medical Dr,27599,NC,35.905899,-79.0514602,"Holmes, Anthony (Tony)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/nc/university-of-north-carolina-hospital-beach?utm_source=yext&utm_medium=link,17.0,8.0,2009.0,,none,False,,False
95 & 264 [NC],"Raleigh-Durham (Fayetteville), NC",Wilson,US,5100 Raleigh Road Pkwy W,27896,NC,35.7643225,-78.0097436,Christy Proctor,OPEN,America/New_York,https://www.chick-fil-a.com/locations/nc/95-264-nc?utm_source=yext&utm_medium=link,17.0,10.0,2019.0,2019-10-17,none,True,Stand Alone,False
Carraway Village,"Raleigh-Durham (Fayetteville), NC",Chapel Hill,US,101 Village Center Dr,27516,NC,35.969624,-79.064884,"Culberson, Samuel (Sammy)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/nc/carraway-village?utm_source=yext&utm_medium=link,9.0,4.0,2020.0,2020-04-09,interior,True,Stand Alone,False
Wilson,"Raleigh-Durham (Fayetteville), NC",Wilson,US,2407 Forest Hills Rd W,27893,NC,35.7332201,-77.9528619,"Proctor, Christy (Christy)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/nc/wilson?utm_source=yext&utm_medium=link,21.0,9.0,2000.0,2000-09-14,interior,True,Stand Alone,False
Sanford,"Raleigh-Durham (Fayetteville), NC",Sanford,US,3224 NC Highway 87 S,27332,NC,35.445527,-79.129797,"McKeown, Kelly (Kelly)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/nc/sanford?utm_source=yext&utm_medium=link,23.0,6.0,2011.0,2011-06-23,interior,True,Stand Alone,False
Henderson,"Raleigh-Durham (Fayetteville), NC",Henderson,US,200 Trade St,27536,NC,36.336202,-78.438499,"Towne, Joshua (Joshua)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/nc/henderson?utm_source=yext&utm_medium=link,16.0,9.0,2004.0,2004-09-16,interior,True,Stand Alone,False
Goldsboro,"Raleigh-Durham (Fayetteville), NC",Goldsboro,US,1201 N Berkeley Blvd,27534,NC,35.3813908,-77.9321811,"Wade, Russell (Russell)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/nc/goldsboro?utm_source=yext&utm_medium=link,1.0,12.0,2005.0,2005-12-01,none,True,Stand Alone,False
Cobb Corners,"Raleigh-Durham (Fayetteville), NC",Rocky Mount,US,1332 Jeffreys Rd,27804,NC,35.9768392,-77.8098375,"Lehnes, William (Bill)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/nc/cobb-corners?utm_source=yext&utm_medium=link,6.0,12.0,2001.0,2001-12-06,interior,True,Stand Alone,False
Mebane,"Greensboro-High Point-Winston Salem, NC",Mebane,US,1311 Mebane Oaks Rd,27302,NC,36.0684547,-79.27016590000001,"Perkins, Kristopher (Todd)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/nc/mebane?utm_source=yext&utm_medium=link,1.0,8.0,2019.0,2019-08-01,interior,True,Stand Alone,False
Methodist University,"Raleigh-Durham (Fayetteville), NC",Fayetteville,US,5400 Ramsey St,28311,NC,35.1344027,-78.8721139,"Bangs, Robert (Bob)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/nc/methodist-university?utm_source=yext&utm_medium=link,9.0,10.0,2013.0,2013-08-01,none,False,,False
Ramsey Street,"Raleigh-Durham (Fayetteville), NC",Fayetteville,US,4611 Ramsey St,28311,NC,35.1241224,-78.8800909,"Bangs, Robert (Bob)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/nc/ramsey-street?utm_source=yext&utm_medium=link,22.0,5.0,2008.0,2008-05-22,interior,True,Stand Alone,False
Fayetteville State University,"Raleigh-Durham (Fayetteville), NC",Fayetteville,US,1200 Murchison Rd,28301,NC,35.07435,-78.892735,"Bangs, Robert (Bob)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/nc/fayetteville-state-university?utm_source=yext&utm_medium=link,11.0,10.0,2018.0,2018-10-15,none,False,,False
Chambers and Parker Road,"Denver, CO",Aurora,US,5600 S Parker Rd,80015,CO,39.615655,-104.816241,Adam Bridge,OPEN,America/Denver,https://www.chick-fil-a.com/locations/co/chambers-and-parker-road?utm_source=yext&utm_medium=link,15.0,1.0,2004.0,2004-01-20,interior,True,Stand Alone,False
Alameda Avenue,"Denver, CO",Aurora,US,14310 E Alameda Ave,80012,CO,39.71075,-104.82129,Karen Arangua,OPEN,America/Denver,https://www.chick-fil-a.com/locations/co/alameda-avenue?utm_source=yext&utm_medium=link,15.0,12.0,2011.0,2011-12-15,interior,True,Stand Alone,False
Southlands,"Denver, CO",Aurora,US,24400 E Smoky Hill Rd,80016,CO,39.5958454,-104.703971,"Weeks, Marcus (Shane)",OPEN,America/Denver,https://www.chick-fil-a.com/locations/co/southlands?utm_source=yext&utm_medium=link,30.0,10.0,2008.0,2008-10-30,interior,True,Stand Alone,False
Gardens on Havana,"Denver, CO",Aurora,US,1198 S Havana St,80012,CO,39.69512,-104.86545,Tate Smith,OPEN,America/Denver,https://www.chick-fil-a.com/locations/co/gardens-on-havana?utm_source=yext&utm_medium=link,3.0,12.0,2009.0,2009-12-03,interior,True,Stand Alone,False
Tamarac Square,"Denver, CO",Denver,US,7785 E Hampden Ave,80231,CO,39.6535108,-104.9001312,"Smith, Daniel (Tate)",OPEN,America/Denver,https://www.chick-fil-a.com/locations/co/tamarac-square?utm_source=yext&utm_medium=link,18.0,4.0,2013.0,2013-04-18,none,True,Stand Alone,False
Parker,"Denver, CO",Parker,US,9335 Crown Crest Blvd,80138,CO,39.5487496,-104.7735674,"Griffin, Donald (Don)",OPEN,America/Denver,https://www.chick-fil-a.com/locations/co/parker?utm_source=yext&utm_medium=link,9.0,5.0,2002.0,2002-05-09,interior,True,Stand Alone,False
Greenwood Village,"Denver, CO",Greenwood Village,US,9331 E Arapahoe Rd,80112,CO,39.59564,-104.87976,Craig Goettsche,OPEN,America/Denver,https://www.chick-fil-a.com/locations/co/greenwood-village?utm_source=yext&utm_medium=link,3.0,4.0,2014.0,2014-04-03,interior,True,Stand Alone,False
Gateway Park,"Denver, CO",Aurora,US,3444 N Salida Ct,80011,CO,39.76507917,-104.77403267,"Williams, Matthew (Matt)",OPEN,America/Denver,https://www.chick-fil-a.com/locations/co/gateway-park?utm_source=yext&utm_medium=link,12.0,2.0,2015.0,2015-02-12,interior,True,Stand Alone,False
Park Meadows Mall,"Denver, CO",Lone Tree,US,8515 Park Meadows Center Dr,80124,CO,39.5631774,-104.8759565,"Voyles, Thomas (Wade)",OPEN,America/Denver,https://www.chick-fil-a.com/locations/co/park-meadows-mall?utm_source=yext&utm_medium=link,30.0,8.0,1996.0,1996-08-30,none,False,Food Court,True
Park Meadows on County Line Rd,"Denver, CO",Lone Tree,US,9091 Westview Rd,80124,CO,39.5653454,-104.8832747,"Clancey, Michael (Michael)",OPEN,America/Denver,https://www.chick-fil-a.com/locations/co/park-meadows-on-county-line-rd?utm_source=yext&utm_medium=link,31.0,7.0,1997.0,1997-07-17,interior,True,Stand Alone,False
S. Colorado & Yale,"Denver, CO",Denver,US,2710 S Colorado Blvd,80222,CO,39.6680503,-104.9399945,"Andrews, Daniel (Daniel)",OPEN,America/Denver,https://www.chick-fil-a.com/locations/co/s-colorado-yale?utm_source=yext&utm_medium=link,18.0,10.0,2018.0,2018-10-18,interior,True,Stand Alone,False
Cherry Creek,"Denver, CO",Denver,US,430 S Colorado Blvd,80246,CO,39.7083335,-104.9402891,Jekabs Bikis,OPEN,America/Denver,https://www.chick-fil-a.com/locations/co/cherry-creek?utm_source=yext&utm_medium=link,10.0,11.0,2016.0,2016-11-10,interior,True,Stand Alone,False
Quebec Street,"Denver, CO",Denver,US,3601 Quebec St,80207,CO,39.76782,-104.90404,"Sutton, Jason (Jason)",OPEN,America/Denver,https://www.chick-fil-a.com/locations/co/quebec-street?utm_source=yext&utm_medium=link,18.0,2.0,2016.0,2015-12-03,interior,True,Stand Alone,False
Colfax & Garfield,"Denver, CO",Denver,US,3725 E Colfax Ave,80206,CO,39.740333,-104.94338,Kevin Brock,OPEN,America/Denver,https://www.chick-fil-a.com/locations/co/colfax-garfield?utm_source=yext&utm_medium=link,10.0,7.0,2014.0,2014-07-10,none,True,Stand Alone,False
Streets at Southglenn In-Line DT,"Denver, CO",Centennial,US,6907 S University Blvd Ste 201,80122,CO,39.5910166,-104.9608494,Cody Schoenly,OPEN,America/Denver,https://www.chick-fil-a.com/locations/co/streets-at-southglenn-in-line-dt?utm_source=yext&utm_medium=link,23.0,5.0,2013.0,2013-05-23,none,True,In-Line,False
Broadway & Dartmouth,"Denver, CO",Englewood,US,3085 S Broadway,80113,CO,39.66079,-104.98826,"Andrews, Daniel (Daniel)",OPEN,America/Denver,https://www.chick-fil-a.com/locations/co/broadway-dartmouth?utm_source=yext&utm_medium=link,23.0,2.0,2017.0,2017-02-23,interior,True,Stand Alone,False
University and Highlands Ranch Pkwy,"Denver, CO",Highlands Ranch,US,3700 E Highlands Ranch Pkwy,80126,CO,39.5438593,-104.9453014,Chris Brock,OPEN,America/Denver,https://www.chick-fil-a.com/locations/co/university-and-highlands-ranch-pkwy?utm_source=yext&utm_medium=link,3.0,12.0,1998.0,1998-12-03,interior,True,Stand Alone,False
River Point,"Denver, CO",Sheridan,US,4090 River Point Pkwy,80110,CO,39.642651,-105.007686,John Barker,OPEN,America/Denver,https://www.chick-fil-a.com/locations/co/river-point?utm_source=yext&utm_medium=link,23.0,4.0,2009.0,2009-04-23,interior,True,Stand Alone,False
Denver International Airport,"Denver, CO",Denver,US,8500 Pena Blvd,80249,CO,39.8380927,-104.6706777,"Halbritter, Vickie (Vickie)",OPEN,America/Denver,https://www.chick-fil-a.com/locations/co/denver-international-airport?utm_source=yext&utm_medium=link,14.0,9.0,2016.0,2016-08-31,none,False,,False
Highlands Ranch Town Center,"Denver, CO",Highlands Ranch,US,950 Cpl Max Donahue Ln,80129,CO,39.5485507,-105.0001994,"Khan, Azim (Azim)",OPEN,America/Denver,https://www.chick-fil-a.com/locations/co/highlands-ranch-town-center?utm_source=yext&utm_medium=link,20.0,3.0,2014.0,2014-03-20,interior,True,Stand Alone,False
Aspen Grove,"Denver, CO",Littleton,US,7301 S Santa Fe Dr Unit 900,80120,CO,39.5828082,-105.0254449,"Plain, Lauren (Lauren)",OPEN,America/Denver,https://www.chick-fil-a.com/locations/co/aspen-grove?utm_source=yext&utm_medium=link,18.0,5.0,2017.0,2017-05-18,interior,True,Stand Alone,False
Sloan's Lake,"Denver, CO",Edgewater,US,1901 Sheridan Blvd,80214,CO,39.74606,-105.05368,"Courtois, Daniel (Dan)",OPEN,America/Denver,https://www.chick-fil-a.com/locations/co/sloans-lake?utm_source=yext&utm_medium=link,20.0,11.0,2014.0,2014-11-20,interior,True,Stand Alone,False
Belmar,"Denver, CO",Lakewood,US,565 S Vance St,80226,CO,39.7067401,-105.0800931,"Zuschlag, Matthew (Matt)",OPEN,America/Denver,https://www.chick-fil-a.com/locations/co/belmar?utm_source=yext&utm_medium=link,10.0,4.0,2014.0,2014-04-10,interior,True,Stand Alone,False
Promenade at Castle Rock,"Denver, CO",Castle Rock,US,6353 Promenade Pkwy,80108,CO,39.4221825,-104.8792645,"Weber, Joseph (Joe)",OPEN,America/Denver,https://www.chick-fil-a.com/locations/co/promenade-at-castle-rock?utm_source=yext&utm_medium=link,21.0,3.0,2019.0,2019-03-21,interior,True,Stand Alone,False
Belleview Shores,"Denver, CO",Littleton,US,5260 S Wadsworth Blvd,80123,CO,39.62046,-105.09055,John Barker,OPEN,America/Denver,https://www.chick-fil-a.com/locations/co/belleview-shores?utm_source=yext&utm_medium=link,28.0,10.0,2010.0,2010-10-28,interior,True,Stand Alone,False
Founders Parkway,"Denver, CO",Castle Rock,US,346 Metzler Dr,80108,CO,39.4085,-104.85911,"Weber, Joseph (Joe)",OPEN,America/Denver,https://www.chick-fil-a.com/locations/co/founders-parkway?utm_source=yext&utm_medium=link,10.0,3.0,2005.0,2005-03-10,interior,True,Stand Alone,False
52nd and Wadsworth,"Denver, CO",Arvada,US,5236 Wadsworth Byp,80002,CO,39.7915046,-105.0801361,"Chalmers, Lori (Lori)",OPEN,America/Denver,https://www.chick-fil-a.com/locations/co/52nd-and-wadsworth?utm_source=yext&utm_medium=link,31.0,10.0,2013.0,2013-10-31,interior,True,Stand Alone,False
C470 & Kipling,"Denver, CO",Littleton,US,9976 W Remington Pl,80128,CO,39.56335,-105.10937,"Plain, Lauren (Lauren)",OPEN,America/Denver,https://www.chick-fil-a.com/locations/co/c470-kipling?utm_source=yext&utm_medium=link,17.0,11.0,2000.0,2000-11-16,interior,True,Stand Alone,False
Brighton,"Denver, CO",Brighton,US,2035 Prairie Center Pkwy,80601,CO,39.95686,-104.77694,"Halbritter, Vickie (Vickie)",OPEN,America/Denver,https://www.chick-fil-a.com/locations/co/brighton?utm_source=yext&utm_medium=link,17.0,1.0,2008.0,2008-01-17,interior,True,Stand Alone,False
104th & Federal,"Denver, CO",Denver,US,10280 Federal Blvd,80260,CO,39.88314,-105.02459,"Wehn, Scott (Scott)",OPEN,America/Denver,https://www.chick-fil-a.com/locations/co/104th-federal?utm_source=yext&utm_medium=link,22.0,6.0,2000.0,2000-06-15,interior,True,Stand Alone,False
120th & Washington,"Denver, CO",Thornton,US,1301 E 120th Ave,80233,CO,39.914467,-104.970824,"Wehn, Scott (Scott)",OPEN,America/Denver,https://www.chick-fil-a.com/locations/co/120th-washington?utm_source=yext&utm_medium=link,25.0,7.0,2002.0,2002-07-25,interior,True,Stand Alone,False
Wadsworth Blvd at 80th Avenue,"Denver, CO",Arvada,US,7809 Wadsworth Blvd,80003,CO,39.83926,-105.08231,"O'Leary, Sheri (Sheri)",OPEN,America/Denver,https://www.chick-fil-a.com/locations/co/wadsworth-blvd-at-80th-avenue?utm_source=yext&utm_medium=link,11.0,7.0,2013.0,2013-07-11,interior,True,Stand Alone,False
I-70 & Youngfield St.,"Denver, CO",Wheat Ridge,US,3700 Youngfield Street,80033,CO,39.766487,-105.142043,"Johnson, Frank (Frank)",OPEN,America/Denver,https://www.chick-fil-a.com/locations/co/i-70-youngfield-st?utm_source=yext&utm_medium=link,30.0,11.0,2023.0,2023-11-30,none,True,Stand Alone,
Denver West,"Denver, CO",Lakewood,US,14730 W Colfax Ave,80401,CO,39.730215,-105.164993,"Johnson, Frank (Frank)",OPEN,America/Denver,https://www.chick-fil-a.com/locations/co/denver-west?utm_source=yext&utm_medium=link,20.0,6.0,2013.0,2013-06-20,none,True,Stand Alone,False
120th & Bradburn,"Denver, CO",Broomfield,US,4260 W 121st Ave,80020,CO,39.9148095,-105.0419301,"Wehn, Scott (Scott)",OPEN,America/Denver,https://www.chick-fil-a.com/locations/co/120th-bradburn?utm_source=yext&utm_medium=link,23.0,9.0,2021.0,2021-09-23,none,True,Stand Alone,False
Orchard Park Place,"Denver, CO",Westminster,US,14275 Orchard Pkwy,80023,CO,39.9553774,-104.9943452,Wes Yahara,OPEN,America/Denver,https://www.chick-fil-a.com/locations/co/orchard-park-place?utm_source=yext&utm_medium=link,18.0,1.0,2018.0,2018-01-18,interior,True,Stand Alone,False
Larkridge,"Denver, CO",Thornton,US,16670 Washington St,80023,CO,39.997771,-104.974446,Barrie Goettsche,OPEN,America/Denver,https://www.chick-fil-a.com/locations/co/larkridge?utm_source=yext&utm_medium=link,16.0,8.0,2007.0,2007-08-16,interior,True,Stand Alone,False
Flatiron,"Denver, CO",Superior,US,2580 Coalton Rd,80027,CO,39.92827,-105.13941,"Anderson, Nathan (Nathan)",OPEN,America/Denver,https://www.chick-fil-a.com/locations/co/flatiron?utm_source=yext&utm_medium=link,9.0,1.0,2003.0,2003-01-09,interior,True,Stand Alone,False
Longmont,"Denver, CO",Longmont,US,215 Ken Pratt Blvd,80501,CO,40.151951,-105.096014,"Gooch, Brent (Brent)",OPEN,America/Denver,https://www.chick-fil-a.com/locations/co/longmont?utm_source=yext&utm_medium=link,12.0,11.0,2009.0,2009-11-12,interior,True,Stand Alone,False
Northgate,"Colorado Springs-Pueblo, CO",Colorado Springs,US,391 Spectrum Loop,80921,CO,39.02485,-104.81761,"Gutteridge, Frank (Trace)",OPEN,America/Denver,https://www.chick-fil-a.com/locations/co/northgate?utm_source=yext&utm_medium=link,1.0,12.0,2016.0,2016-12-01,interior,True,Stand Alone,False
North Academy Blvd. & I-25,"Colorado Springs-Pueblo, CO",Colorado Springs,US,7990 N Academy Blvd,80920,CO,38.9472265,-104.8031031,Ryan Saxby,OPEN,America/Denver,https://www.chick-fil-a.com/locations/co/north-academy-blvd-i-25?utm_source=yext&utm_medium=link,15.0,12.0,2005.0,2005-12-15,interior,True,Stand Alone,False
Dublin Commons,"Colorado Springs-Pueblo, CO",Colorado Springs,US,5905 Dublin Blvd,80923,CO,38.9256673,-104.7173589,Rob Taylor,OPEN,America/Denver,https://www.chick-fil-a.com/locations/co/dublin-commons?utm_source=yext&utm_medium=link,16.0,1.0,2019.0,2019-01-16,interior,True,Stand Alone,False
Greeley,"Denver, CO",Greeley,US,4555 Centerplace Dr,80634,CO,40.3956,-104.7527,"Rotramel, Kenneth (Ken)",OPEN,America/Denver,https://www.chick-fil-a.com/locations/co/greeley?utm_source=yext&utm_medium=link,27.0,3.0,2014.0,2014-03-27,interior,True,Stand Alone,False
Garden of the Gods,"Colorado Springs-Pueblo, CO",Colorado Springs,US,575 Garden of the Gods Rd,80907,CO,38.8962498,-104.83436,"Watson, Randall (Randy)",OPEN,America/Denver,https://www.chick-fil-a.com/locations/co/garden-of-the-gods?utm_source=yext&utm_medium=link,12.0,11.0,2009.0,2009-11-12,interior,True,Stand Alone,False
North Carefree,"Colorado Springs-Pueblo, CO",Colorado Springs,US,3710 Bloomington St,80922,CO,38.886,-104.71755,Rob Taylor,OPEN,America/Denver,https://www.chick-fil-a.com/locations/co/north-carefree?utm_source=yext&utm_medium=link,27.0,2.0,2003.0,2003-02-27,interior,True,Stand Alone,False
Loveland,"Denver, CO",Loveland,US,1545 Rocky Mountain Ave,80538,CO,40.407818,-105.006366,Todd Orlando,OPEN,America/Denver,https://www.chick-fil-a.com/locations/co/loveland?utm_source=yext&utm_medium=link,30.0,11.0,2006.0,2006-11-30,none,True,Stand Alone,False
Citadel Crossing,"Colorado Springs-Pueblo, CO",Colorado Springs,US,505 N Academy Blvd,80909,CO,38.8409,-104.7560217,Tucker Braun,OPEN,America/Denver,https://www.chick-fil-a.com/locations/co/citadel-crossing?utm_source=yext&utm_medium=link,1.0,12.0,2022.0,2022-12-01,none,True,Stand Alone,
South Nevada Ave.,"Colorado Springs-Pueblo, CO",Colorado Springs,US,1620 S Nevada Ave,80905,CO,38.8106133,-104.8228083,Matt Jeffcoat,OPEN,America/Denver,https://www.chick-fil-a.com/locations/co/south-nevada-ave?utm_source=yext&utm_medium=link,15.0,3.0,2018.0,2018-03-15,interior,True,Stand Alone,False
I-25 & Harmony Rd,"Denver, CO",Timnath,US,4531 Weitzel St Timnath CO80547,80547,CO,40.5238172,-104.9900873,Stevan Stein,OPEN,America/Denver,https://www.chick-fil-a.com/locations/co/i-25-harmony-rd?utm_source=yext&utm_medium=link,17.0,1.0,2018.0,2018-01-17,interior,True,Stand Alone,False
Fort Collins,"Denver, CO",Fort Collins,US,3605 S College Ave,80525,CO,40.53776,-105.07779,Stevan Stein,OPEN,America/Denver,https://www.chick-fil-a.com/locations/co/fort-collins?utm_source=yext&utm_medium=link,29.0,10.0,2009.0,2009-10-29,interior,True,Stand Alone,False
Bridgewater Falls,"Cincinnati, OH",Fairfield,US,3403 Princeton Rd,45011,OH,39.390197,-84.500344,"Nelson, Daryl (Daryl)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/oh/bridgewater-falls?utm_source=yext&utm_medium=link,10.0,2.0,2011.0,2011-02-10,interior,True,Stand Alone,False
Liberty Way,"Cincinnati, OH",West Chester,US,7602 Trailside Dr,45069,OH,39.3688251,-84.3715782,"Wight, Andrew (Andrew)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/oh/liberty-way?utm_source=yext&utm_medium=link,8.0,2.0,2018.0,2018-02-08,interior,True,Stand Alone,False
Fairfield (OH),"Cincinnati, OH",Fairfield,US,6305 S Gilmore Rd,45014,OH,39.304905,-84.5244088,"Nelson, Daryl (Daryl)",OPEN,America/New_York,https://www.chick-fil-a.com/locations/oh/fairfield-oh?utm_source=yext&utm_medium=link,21.0,11.0,2019.0,2019-11-21,interior,True,Stand Alone,False
Voice of America,"Cincinnati, OH",West Chester,US,7733 Voice of America Centre Dr,45069,OH,39.3531014,-84.3612123,Markus Schleidt,OPEN,America/New_York,https://www.chick-fil-a.com/locations/oh/voice-of-america?utm_source=yext&utm_medium=link,5.0,8.0,2004.0,2004-08-05,interior,True,Stand Alone,False
